BranchID,BranchName,City,Address
1,Nasr City Branch,Cairo,"12 Abbas El Akkad St, Nasr City, Cairo"
2,Maadi Branch,Cairo,"25 Road 9, Maadi, Cairo"
3,Heliopolis Branch,Cairo,"18 El Merghany St, Heliopolis, Cairo"
4,Dokki Branch,Giza,"10 El Tahrir St, Dokki, Giza"
5,Mohandessin Branch,Giza,"22 Gameat El Dewal St, Mohandessin, Giza"
6,Haram Branch,Giza,"45 El Haram St, Giza"
7,6th of October Branch,Giza,"3 Central Axis, 6th of October, Giza"
8,Sheikh Zayed Branch,Giza,"14 Zayed Central St, Sheikh Zayed, Giza"
9,Smouha Branch,Alexandria,"8 Victor Emanuel St, Smouha, Alexandria"
10,Stanley Branch,Alexandria,"19 Corniche Rd, Stanley, Alexandria"
11,Sidi Gaber Branch,Alexandria,"27 Abu Qir St, Sidi Gaber, Alexandria"
12,Mandara Branch,Alexandria,"33 El Gaish Rd, Mandara, Alexandria"
13,Gleem Branch,Alexandria,"5 Fawzy Moaz St, Gleem, Alexandria"
14,Mansoura Main Branch,Mansoura,"11 El Gomhoria St, Mansoura"
15,Talkha Branch,Mansoura,"6 El Geish St, Talkha, Mansoura"
16,Tanta Main Branch,Tanta,"9 El Modereya St, Tanta"
17,El Mahalla Branch,Tanta,"21 Saad Zaghloul St, El Mahalla, Tanta"
18,Aswan Main Branch,Aswan,"4 Corniche El Nile, Aswan"
19,Kom Ombo Branch,Aswan,"16 Market St, Kom Ombo, Aswan"
20,Luxor Main Branch,Luxor,"7 Khaled Ibn El Walid St, Luxor"
21,Karnak Branch,Luxor,"13 Karnak Temple Rd, Luxor"
22,Ismailia Main Branch,Ismailia,"10 El Thawra St, Ismailia"
23,Fayed Branch,Ismailia,"5 Beach Rd, Fayed, Ismailia"
24,Port Said Branch,Ismailia,"20 El Shohada St, Port Said"
25,Shubra Branch,Cairo,"15 Shubra St, Cairo"
26,Ramses Branch,Cairo,"2 Ramses Square, Cairo"
27,Abbasia Branch,Cairo,"17 El Abaseya St, Cairo"
28,Zamalek Branch,Cairo,"9 Brazil St, Zamalek, Cairo"
29,New Cairo Branch,Cairo,"88 North 90 St, New Cairo"
30,El Rehab Branch,Cairo,"14 Food Court St, El Rehab, Cairo"
31,Madinaty Branch,Cairo,"6 Central Services Area, Madinaty, Cairo"
32,Obour Branch,Cairo,"19 Industrial Zone St, Obour, Cairo"
33,Shorouk Branch,Cairo,"11 Youth Housing St, Shorouk, Cairo"
34,Helwan Branch,Cairo,"30 Helwan Corniche, Cairo"
35,Ain Shams Branch,Cairo,"7 El Matareya Rd, Ain Shams, Cairo"
36,Matareya Branch,Cairo,"4 El Galaa St, Matareya, Cairo"
37,El Marg Branch,Cairo,"21 El Marg El Gedida, Cairo"
38,Banha Branch,Mansoura,"18 El Saad St, Banha"
39,Zagazig Branch,Mansoura,"23 El Qawmeya St, Zagazig"
40,Damietta Branch,Mansoura,"12 Port Said St, Damietta"
41,Kafr El Sheikh Branch,Mansoura,"8 El Stadium St, Kafr El Sheikh"
42,New Damietta Branch,Mansoura,"5 Central District, New Damietta"
43,Sharm El Sheikh Branch,Luxor,"1 Peace Rd, Sharm El Sheikh"
44,Hurghada Branch,Luxor,"22 Village Rd, Hurghada"
45,El Gouna Branch,Luxor,"3 Marina St, El Gouna"
46,Sohag Branch,Luxor,"14 El Geish St, Sohag"
47,Qena Branch,Luxor,"6 El Gomhoria St, Qena"
48,Minya Branch,Luxor,"19 Corniche El Nile, Minya"
49,Assiut Branch,Luxor,"27 El Thawra St, Assiut"
50,Beni Suef Branch,Giza,"10 Saad Zaghloul St, Beni Suef"
51,Fayoum Branch,Giza,"16 El Corniche St, Fayoum"
52,El Arish Branch,Ismailia,"9 El Bahr St, El Arish"
53,New Ismailia Branch,Ismailia,"25 Ring Rd, New Ismailia"
54,10th of Ramadan Branch,Cairo,"31 Industrial Zone, 10th of Ramadan"
55,Sadat City Branch,Tanta,"12 Central Axis, Sadat City"
56,Menouf Branch,Tanta,"6 El Gomhoria St, Menouf"
57,Desouk Branch,Tanta,"18 El Bank St, Desouk"
58,Rosetta Branch,Alexandria,"4 Nile Branch Rd, Rosetta"
59,Abu Qir Branch,Alexandria,"29 Abu Qir St, Alexandria"
60,Borg El Arab Branch,Alexandria,"7 Industrial Zone, Borg El Arab"
61,El Alamein Branch,Alexandria,"2 North Coast Rd, El Alamein"
62,Matrouh Branch,Alexandria,"15 Corniche Rd, Marsa Matrouh"
63,North Coast Branch,Alexandria,"40 Marina St, North Coast"
64,Dabaa Branch,Alexandria,"11 Coastal Rd, Dabaa"
65,Siwa Branch,Alexandria,"3 Oasis Center, Siwa"
66,Shibin El Kom Branch,Tanta,"20 El Modereya St, Shibin El Kom"
67,Ashmoun Branch,Tanta,"9 Market St, Ashmoun"
68,Basyoun Branch,Tanta,"5 El Saad St, Basyoun"
69,Qalyub Branch,Cairo,"14 El Corniche St, Qalyub"
70,Shibin El Qanater Branch,Cairo,"7 Ring Rd, Shibin El Qanater"
71,Khanka Branch,Cairo,"12 Industrial Rd, Khanka"
72,El Salam Branch,Cairo,"33 El Salam St, Cairo"
73,El Nozha Branch,Cairo,"21 El Nozha St, Cairo"
74,Hadayek El Ahram Branch,Giza,"19 Gate 2 St, Hadayek El Ahram, Giza"
75,Imbaba Branch,Giza,"8 El Sudan St, Imbaba, Giza"
76,Bulaq Branch,Cairo,"6 Corniche El Nile, Bulaq, Cairo"
77,Manial Branch,Cairo,"17 El Manial St, Cairo"
78,El Sayeda Zeinab Branch,Cairo,"22 Port Said St, Cairo"
79,El Basateen Branch,Cairo,"9 Autostrad Rd, Cairo"
80,El Maadi Degla Branch,Cairo,"5 Degla Square, Maadi, Cairo"
81,Katameya Branch,Cairo,"18 Katameya Heights Rd, Cairo"
82,New Capital Branch,Cairo,"1 Government District, New Capital"
83,Suez Branch,Ismailia,"10 El Nasr St, Suez"
84,Ataqa Branch,Ismailia,"4 Industrial Zone, Ataqa"
85,Port Tawfik Branch,Ismailia,"6 Port Tawfik Rd, Suez"
86,Ras Ghareb Branch,Luxor,"11 Coastal Rd, Ras Ghareb"
87,Safaga Branch,Luxor,"9 Port St, Safaga"
88,Marsa Alam Branch,Luxor,"2 Airport Rd, Marsa Alam"
89,El Quseir Branch,Luxor,"14 Corniche Rd, El Quseir"
90,Nag Hammadi Branch,Luxor,"7 Sugar Factory Rd, Nag Hammadi"
91,Abu Tig Branch,Luxor,"6 Market St, Abu Tig"
92,Dayrout Branch,Luxor,"5 El Geish St, Dayrout"
93,Maghagha Branch,Luxor,"4 El Corniche St, Maghagha"
94,Samalut Branch,Luxor,"13 El Gomhoria St, Samalut"
95,El Badari Branch,Luxor,"3 El Saad St, El Badari"
96,Farshout Branch,Luxor,"6 Central Square, Farshout"
97,Armant Branch,Luxor,"10 Temple Rd, Armant"
98,Esna Branch,Luxor,"12 Market Rd, Esna"
99,Tod Branch,Luxor,"2 Agricultural Rd, Tod"
100,Abu Simbel Branch,Aswan,"1 Temple Entrance Rd, Abu Simbel"
101,Edfu Branch,Aswan,"8 Horus Temple St, Edfu"
102,Daraw Branch,Aswan,"6 Nile Market St, Daraw"
103,Kalabsha Branch,Aswan,"3 Temple Rd, Kalabsha"
104,Ballana Branch,Aswan,"5 Village Center, Ballana"
105,Idfu Industrial Branch,Aswan,"20 Industrial Zone, Edfu"
106,El Sebaeya Branch,Aswan,"9 Mining Rd, El Sebaeya"
107,Koum Umbu East Branch,Aswan,"11 East Bank Rd, Kom Ombo"
108,Koum Umbu West Branch,Aswan,"14 West Bank Rd, Kom Ombo"
109,New Aswan Branch,Aswan,"7 New District, Aswan"
110,El Bayadiya Branch,Luxor,"6 Market St, El Bayadiya"
111,New Luxor Branch,Luxor,"19 New City Rd, Luxor"
112,El Tod Industrial Branch,Luxor,"23 Industrial Zone, Tod"
113,West Bank Luxor Branch,Luxor,"5 Habu Temple Rd, Luxor"
114,East Bank Luxor Branch,Luxor,"17 Karnak Rd, Luxor"
